region,City,County,Type
21278,Baltimore,Baltimore City,Unique
21279,Baltimore,Baltimore City,Unique
21281,Baltimore,Baltimore City,P.O. Box
21282,Pikesville,Baltimore,P.O. Box
21284,Towson,Baltimore,P.O. Box
21285,Towson,Baltimore,P.O. Box
21286,Towson,Baltimore,Standard
21287,Baltimore,Baltimore City,Standard
21289,Baltimore,Baltimore City,Unique
21290,Baltimore,Baltimore City,Unique
21297,Baltimore,Baltimore City,P.O. Box
21298,Baltimore,Baltimore City,Unique
21401,Annapolis,Anne Arundel,Standard
21402,Annapolis,Anne Arundel,Standard
21403,Annapolis,Anne Arundel,Standard
21404,Annapolis,Anne Arundel,P.O. Box
21405,Annapolis,Anne Arundel,Standard
21409,Annapolis,Anne Arundel,Standard
21411,Annapolis,Anne Arundel,Unique
21412,Annapolis,Anne Arundel,Unique
21501,Cumberland,Allegany,P.O. Box
21502,Cumberland,Allegany,Standard
21503,Cumberland,Allegany,P.O. Box
21504,Cumberland,Allegany,P.O. Box
21505,Cumberland,Allegany,P.O. Box
21520,Accident,Garrett,Standard
21521,Barton,Allegany,Standard
21522,Bittinger,Garrett,Standard
21523,Bloomington,Garrett,Standard
21524,Corriganville,Allegany,P.O. Box
21528,Eckhart Mines,Allegany,P.O. Box
21529,Ellerslie,Allegany,P.O. Box
21530,Flintstone,Allegany,Standard
21531,Friendsville,Garrett,Standard
21532,Frostburg,Allegany,Standard
21536,Grantsville,Garrett,Standard
21538,Kitzmiller,Garrett,Standard
21539,Lonaconing,Allegany,Standard
21540,Luke,Allegany,Standard
21541,Mc Henry,Garrett,Standard
21542,Midland,Allegany,P.O. Box
21543,Midlothian,Allegany,P.O. Box
21545,Mount Savage,Allegany,Standard
21550,Oakland,Garrett,Standard
21555,Oldtown,Allegany,Standard
21556,Pinto,Allegany,P.O. Box
21557,Rawlings,Allegany,Standard
21560,Spring Gap,Allegany,P.O. Box
21561,Swanton,Garrett,Standard
21562,Westernport,Allegany,Standard
21601,Easton,Talbot,Standard
21607,Barclay,Queen Annes,Standard
21609,Bethlehem,Caroline,P.O. Box
21610,Betterton,Kent,Standard
21612,Bozman,Talbot,Standard
21613,Cambridge,Dorchester,Standard
21617,Centreville,Queen Annes,Standard
21619,Chester,Queen Annes,Standard
21620,Chestertown,Kent,Standard
21622,Church Creek,Dorchester,Standard
21623,Church Hill,Queen Annes,Standard
21624,Claiborne,Talbot,P.O. Box
21625,Cordova,Talbot,Standard
21626,Crapo,Dorchester,Standard
21627,Crocheron,Dorchester,Standard
21628,Crumpton,Queen Annes,P.O. Box
21629,Denton,Caroline,Standard
21631,East New Market,Dorchester,Standard
21632,Federalsburg,Caroline,Standard
21634,Fishing Creek,Dorchester,Standard
21635,Galena,Kent,Standard
21636,Goldsboro,Caroline,Standard
21638,Grasonville,Queen Annes,Standard
21639,Greensboro,Caroline,Standard
21640,Henderson,Caroline,Standard
21641,Hillsboro,Caroline,P.O. Box
21643,Hurlock,Dorchester,Standard
21644,Ingleside,Queen Annes,Standard
21645,Kennedyville,Kent,Standard
21647,Mcdaniel,Talbot,Standard
21648,Madison,Dorchester,Standard
21649,Marydel,Caroline,Standard
21650,Massey,Kent,Standard
21651,Millington,Kent,Standard
21652,Neavitt,Talbot,P.O. Box
21653,Newcomb,Talbot,P.O. Box
21654,Oxford,Talbot,Standard
21655,Preston,Caroline,Standard
21656,Price,Queen Annes,P.O. Box
21657,Queen Anne,Queen Annes,Standard
21658,Queenstown,Queen Annes,Standard
21659,Rhodesdale,Dorchester,Standard
21660,Ridgely,Caroline,Standard
21661,Rock Hall,Kent,Standard
21662,Royal Oak,Talbot,Standard
21663,Saint Michaels,Talbot,Standard
21664,Secretary,Dorchester,P.O. Box
21665,Sherwood,Talbot,Standard
21666,Stevensville,Queen Annes,Standard
21667,Still Pond,Kent,Standard
21668,Sudlersville,Queen Annes,Standard
21669,Taylors Island,Dorchester,P.O. Box
21670,Templeville,Caroline,P.O. Box
21671,Tilghman,Talbot,Standard
21672,Toddville,Dorchester,Standard
21673,Trappe,Talbot,Standard
21675,Wingate,Dorchester,Standard
21676,Wittman,Talbot,Standard
21677,Woolford,Dorchester,Standard
21678,Worton,Kent,Standard
21679,Wye Mills,Talbot,Standard
21690,Chestertown,Queen Annes,Unique
21701,Frederick,Frederick,Standard
21702,Frederick,Frederick,Standard
21703,Frederick,Frederick,Standard
21704,Frederick,Frederick,Standard
21705,Frederick,Frederick,P.O. Box
21709,Frederick,Frederick,Unique
21710,Adamstown,Frederick,Standard
21711,Big Pool,Washington,Standard
21713,Boonsboro,Washington,Standard
21714,Braddock Heights,Frederick,P.O. Box
21715,Brownsville,Washington,P.O. Box
21716,Brunswick,Frederick,Standard
21717,Buckeystown,Frederick,P.O. Box
21718,Burkittsville,Frederick,Standard
21719,Cascade,Washington,Standard
21720,Cavetown,Washington,P.O. Box
21721,Chewsville,Washington,P.O. Box
21722,Clear Spring,Washington,Standard
21723,Cooksville,Howard,Standard
21727,Emmitsburg,Frederick,Standard
21733,Fairplay,Washington,Standard
21734,Funkstown,Washington,P.O. Box
21737,Glenelg,Howard,Standard
21738,Glenwood,Howard,Standard
21740,Hagerstown,Washington,Standard
21741,Hagerstown,Washington,P.O. Box
21742,Hagerstown,Washington,Standard
21746,Hagerstown,Washington,Unique
21747,Hagerstown,Washington,P.O. Box
21749,Hagerstown,Washington,Unique
21750,Hancock,Washington,Standard
21754,Ijamsville,Frederick,Standard
21755,Jefferson,Frederick,Standard
21756,Keedysville,Washington,Standard
21757,Keymar,Carroll,Standard
21758,Knoxville,Frederick,Standard
21759,Ladiesburg,Frederick,P.O. Box
